gene1,gene2,intxn_pair,nspots_1,nspots_2,nspots_1only,nspots_2only,nspots_both,nspots_neither,nneighbor_pair,pct_neighbors_paired_excl0
CD5,EPHA2,CD5 + EPHA2,1500,104,1463,67,37,2409,408,0.0440699935191186
JAG1,CSF1R,JAG1 + CSF1R,18,1341,13,1336,5,2622,60,0.0076384468491406746
TNFSF8,SIGLEC1,TNFSF8 + SIGLEC1,89,1967,37,1915,52,1972,598,0.050506756756756754
HLA-E,SEMA4D,HLA-E + SEMA4D,16,42,15,41,1,3919,12,0.03529411764705882
PLXNB2,DSC1,PLXNB2 + DSC1,337,525,283,471,54,3168,616,0.1251778093883357
CEACAM6,MRC1,CEACAM6 + MRC1,745,83,732,70,13,3161,154,0.03223780615449027
KIR2DL5A,TNFRSF8,KIR2DL5A + TNFRSF8,2790,89,2725,24,65,1162,752,0.045312123403229695
SLAMF6,SLAMF7,SLAMF6 + SLAMF7,780,1261,520,1001,260,2195,3002,0.25438522159139054
CADM1,TNFRSF10B,CADM1 + TNFRSF10B,133,43,131,41,2,3802,24,0.023880597014925373
FCER2,ESAM,FCER2 + ESAM,16,860,13,857,3,3103,36,0.007097791798107256
TNFSF8,LILRA4,TNFSF8 + LILRA4,89,3475,10,3396,79,491,918,0.04462809917355372
CD2,PLXNA4,CD2 + PLXNA4,417,2894,122,2599,295,960,3426,0.17928724684703543
CD177,SEMA4D,CD177 + SEMA4D,995,337,915,257,80,2724,908,0.11844508218105922
HLA-F,CTLA4,HLA-F + CTLA4,383,205,362,184,21,3409,242,0.07147076196101594
CHL1,CD28,CHL1 + CD28,21,2068,6,2053,15,1902,176,0.014580399304117305
CDH2,EPHB1,CDH2 + EPHB1,184,1622,106,1544,78,2248,880,0.08481110254433308
BTLA,CD1D,BTLA + CD1D,31,19,31,19,0,3926,0,0.0
CD34,SLAMF6,CD34 + SLAMF6,565,780,469,684,96,2727,1098,0.1415495681320098
CD40LG,JAM3,CD40LG + JAM3,54,17,53,16,1,3906,12,0.02962962962962963
CD80,KLRK1,CD80 + KLRK1,22,20,22,20,0,3934,0,0.0
JAG2,TIGIT,JAG2 + TIGIT,368,3809,9,3450,359,158,4144,0.1717293108449712
TNF,CD40,TNF + CD40,1716,1614,964,862,752,1398,8680,0.4519185713541938
